name,description,discount,price
Maniac,Maniac Men Grey Checked Round Neck T-shirt,(65% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1318 -->Rs. <!-- /react-text --><!-- react-text: 1319 -->374<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1321 -->Rs. <!-- /react-text --><!-- react-text: 1322 -->1069<!-- /react-text --></span></span><span class=""product-discountPercentage"">(65% OFF)</span>"
Tulsattva,Tulsattva Women Blue Slim Fit Solid Treggings,(55% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1351 -->Rs. <!-- /react-text --><!-- react-text: 1352 -->515<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1354 -->Rs. <!-- /react-text --><!-- react-text: 1355 -->1145<!-- /react-text --></span></span><span class=""product-discountPercentage"">(55% OFF)</span>"
Azira,Azira Women Blue &amp; Pink Printed Straight Kurta,(55% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1385 -->Rs. <!-- /react-text --><!-- react-text: 1386 -->539<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1388 -->Rs. <!-- /react-text --><!-- react-text: 1389 -->1199<!-- /react-text --></span></span><span class=""product-discountPercentage"">(55% OFF)</span>"
HIGHLANDER,HIGHLANDER Men Red &amp; Blue Slim Fit Checked Casual Shirt,(50% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1420 -->Rs. <!-- /react-text --><!-- react-text: 1421 -->499<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1423 -->Rs. <!-- /react-text --><!-- react-text: 1424 -->999<!-- /react-text --></span></span><span class=""product-discountPercentage"">(50% OFF)</span>"
The Vanca,The Vanca Women Peach Solid Regular Top,(50% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1453 -->Rs. <!-- /react-text --><!-- react-text: 1454 -->549<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1456 -->Rs. <!-- /react-text --><!-- react-text: 1457 -->1099<!-- /react-text --></span></span><span class=""product-discountPercentage"">(50% OFF)</span>"
United Colors of Benetton,United Colors of Benetton Men Pack of Three Solid Round Neck T-shirt,(50% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1486 -->Rs. <!-- /react-text --><!-- react-text: 1487 -->579<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1489 -->Rs. <!-- /react-text --><!-- react-text: 1490 -->1159<!-- /react-text --></span></span><span class=""product-discountPercentage"">(50% OFF)</span>"
HIGHLANDER,HIGHLANDER Men White Slim Fit Solid Casual Shirt,(50% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1519 -->Rs. <!-- /react-text --><!-- react-text: 1520 -->574<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1522 -->Rs. <!-- /react-text --><!-- react-text: 1523 -->1149<!-- /react-text --></span></span><span class=""product-discountPercentage"">(50% OFF)</span>"
Roadster,Roadster Men Olive Green Printed Round Neck T-Shirt,(20% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1552 -->Rs. <!-- /react-text --><!-- react-text: 1553 -->559<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1555 -->Rs. <!-- /react-text --><!-- react-text: 1556 -->699<!-- /react-text --></span></span><span class=""product-discountPercentage"">(20% OFF)</span>"
Lakme,Lakme Eyeconic Deep Black Kajal,(12% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1585 -->Rs. <!-- /react-text --><!-- react-text: 1586 -->149<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1588 -->Rs. <!-- /react-text --><!-- react-text: 1589 -->170<!-- /react-text --></span></span><span class=""product-discountPercentage"">(12% OFF)</span>"
Lakme,Lakme Set of 2 Eyeconic Deep Black Kajal 0.35 g,(25% OFF),"<span><span class=""product-discountedPrice""><!-- react-text: 1615 -->Rs. <!-- /react-text --><!-- react-text: 1616 -->255<!-- /react-text --></span><span class=""product-strike""><!-- react-text: 1618 -->Rs. <!-- /react-text --><!-- react-text: 1619 -->340<!-- /react-text --></span></span><span class=""product-discountPercentage"">(25% OFF)</span>"
